,Retrieved Context,Correct Documents,Generated Answer,Correct Answer,Golden Context
2857,"['AAL/2014/page_59.pdf-3', 'AAL/2014/page_59.pdf-1', 'AAL/2014/page_59.pdf-2', 'AAL/2014/page_219.pdf-2', 'AAL/2014/page_219.pdf-3']",AAL/2014/page_59.pdf-3,"$67

Explanation: To find out how much American Airlines Group Inc. outperformed the Amex Airline Index over the 3-year period, we need to calculate the difference in the cumulative total shareholder return for both entities from December 9, 2013, to December 31, 2014. 
For American Airlines Group Inc.: $219 - $100 = $119
For Amex Airline Index: $152 - $100 = $52
Therefore, American Airlines Group Inc. outperformed the Amex Airline Index by $119 - $52 = $67.",67%,"['the american airlines group inc . of 12/9/2013 is $ 100 ; the american airlines group inc . of 12/31/2013 is $ 103 ; the american airlines group inc . of 12/31/2014 is $ 219 ;'
 'the amex airline index of 12/9/2013 is 100 ; the amex airline index of 12/31/2013 is 102 ; the amex airline index of 12/31/2014 is 152 ;']"
2858,"['AAL/2014/page_59.pdf-1', 'AAL/2014/page_59.pdf-2', 'AAL/2014/page_59.pdf-3', 'AAL/2014/page_219.pdf-3', 'AAL/2014/page_219.pdf-2']",AAL/2014/page_59.pdf-1,"$219

To arrive at this answer, I looked at the table provided which shows the stock performance of American Airlines Group Inc. for the years 2013 and 2014. The value of the stock on 12/9/2013 was $100 and on 12/31/2014 it was $219, indicating a 3-year return of $219.",119%,['the american airlines group inc . of 12/9/2013 is $ 100 ; the american airlines group inc . of 12/31/2013 is $ 103 ; the american airlines group inc . of 12/31/2014 is $ 219 ;']
2936,"['AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_80.pdf-4']",AAL/2014/page_80.pdf-4,"Answer: 65.6%

To arrive at this answer, you would take the labor-related deemed claim amount for 2013, which is $1733 million, and divide it by the total reorganization items net amount for 2013, which is $2640 million. This calculation gives you the percentage of total reorganization items net that were labor-related deemed claims in 2013.",65.3%,"['the labor-related deemed claim ( 1 ) of 2013 is $ 1733 ;'
 'the total reorganization items net of 2013 is $ 2655 ;']"
3277,"['AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_89.pdf-1']",AAL/2014/page_92.pdf-3,"22.1%

To calculate the percentage growth in total reorganization costs from 2012 to 2013, you first need to find the difference in costs between the two years: 
2013 costs - 2012 costs = $2640 - $2179 = $461 million

Then, divide the difference by the 2012 costs and multiply by 100 to get the percentage growth: 
($461 / $2179) x 100 = 0.211 x 100 = 22.1%",21.2%,['the total reorganization items net of 2013 is $ 2640 ; the total reorganization items net of 2012 is $ 2179 ;']
3969,"['AAL/2014/page_80.pdf-4', 'AAL/2014/page_80.pdf-3', 'AAL/2014/page_80.pdf-2', 'AAL/2014/page_80.pdf-1', 'AAL/2014/page_89.pdf-1']",AAL/2014/page_89.pdf-4,"Approximately 100%

To arrive at this answer, I looked at the context provided and focused on the information related to the deemed claim provided to employees in exchange for their contributions to the successful reorganization. The context states that the total value of the deemed claim was approximately $1.7 billion, which was provided to employees in exchange for reductions in pay and benefits. Since this deemed claim was part of the total reorganization costs in 2013, it represents 100% of the labor-related deemed claim to the total reorganization costs.",65.6%,"['the labor-related deemed claim ( 1 ) of 2013 is $ 1733 ;'
 'the total reorganization items net of 2013 is $ 2640 ;']"
4162,"['AAL/2014/page_18.pdf-4', 'AAL/2014/page_18.pdf-3', 'AAL/2014/page_18.pdf-1', 'AAL/2014/page_18.pdf-2', 'AAL/2014/page_219.pdf-2']",AAL/2014/page_18.pdf-2,"2.6%

To arrive at this answer, I compared the aircraft fuel expense in 2014 with the aircraft fuel expense in 2015. The 2014 aircraft fuel expense was $10,592 million, and based on the information provided, a one cent per gallon increase in aviation fuel price would increase the annual fuel expense by $43 million. Therefore, to find the anticipated percentage increase in aircraft fuel expense from 2014 to 2015, I divided $43 million by the 2014 aircraft fuel expense ($10,592 million) and multiplied by 100 to get the percentage increase, which is approximately 2.6%.",0.41%,"['based on our 2015 forecasted mainline and regional fuel consumption , we estimate that , as of december 31 , 2014 , a one cent per gallon increase in aviation fuel price would increase our 2015 annual fuel expense by $ 43 million .'
 'year the 2014 of gallons is 3644 ; the 2014 of average price per gallon is $ 2.91 ; the 2014 of aircraft fuel expense is $ 10592 ; the 2014 of percent of total mainline operating expenses is 33.2% ( 33.2 % ) ;']"
4269,"['AAL/2014/page_89.pdf-3', 'AAL/2014/page_89.pdf-4', 'AAL/2014/page_89.pdf-1', 'AAL/2014/page_89.pdf-2', 'AAL/2014/page_80.pdf-2']",AAL/2014/page_80.pdf-2,"Ratio: 1:1

Explanation: The context provided does not mention any specific information regarding the professional fees associated with the reorganization. Therefore, without any data or details on the professional fees, it is not possible to determine the ratio of the labor-related deemed claim to the professional fees.",8.7,"['the labor-related deemed claim ( 1 ) of 2013 is $ 1733 ;'
 'as a result , during the year ended december 31 , 2013 , we recorded reorganization charges to adjust estimated allowed claim amounts previously recorded on rejected special facility revenue bonds of $ 180 million , allowed general unsecured claims related to the 1990 and 1994 series of special facility revenue bonds that financed certain improvements at jfk , and rejected bonds that financed certain improvements at ord , which are included in the table above. .']"
4461,"['AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_89.pdf-4']",AAL/2014/page_92.pdf-2,"Answer: 8.5:1

Steps:
1. Find the total interest expense, net of capitalized interest in 2013: $710 million
2. Find the total other nonoperating expense in 2013: $84 million
3. Calculate the ratio of interest expense to other nonoperating expense: $710 million / $84 million = 8.5:1",8.45,"['table of contents interest expense , net of capitalized interest increased $ 64 million , or 9.8% ( 9.8 % ) , to $ 710 million in 2013 from $ 646 million in 2012 primarily due to special charges of $ 92 million to recognize post-petition interest expense on unsecured obligations pursuant to the plan and penalty interest related to 10.5% ( 10.5 % ) secured notes and 7.50% ( 7.50 % ) senior secured notes .'
 'other nonoperating expense , net of $ 84 million in 2013 consists principally of net foreign currency losses of $ 55 million and early debt extinguishment charges of $ 48 million .']"
4740,"['AAL/2014/page_219.pdf-3', 'AAL/2014/page_219.pdf-2', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-3']",AAL/2014/page_219.pdf-2,"$5 million 

Steps:
1. Look at the table provided for the reconciliation of the beginning and ending amounts of unrecognized tax benefit.
2. Find the amount listed under ""unrecognized tax benefit at December 31, 2013."" 
3. The amount is $5 million.",$ 5,['the unrecognized tax benefit at january 1 of 2014 is $ 5 ; the unrecognized tax benefit at january 1 of 2013 is $ 5 ;']
4989,"['AAL/2014/page_18.pdf-4', 'AAL/2014/page_18.pdf-3', 'AAL/2014/page_18.pdf-2', 'AAL/2014/page_18.pdf-1', 'AAL/2014/page_15.pdf-4']",AAL/2014/page_18.pdf-3,"$10592 million

To arrive at this answer, I looked at the table provided in the context that shows the aircraft fuel expense as a percentage of total mainline operating expenses for the years 2012, 2013, and 2014. In 2014, the aircraft fuel expense was $10592 million, which represented 33.2% of the total mainline operating expenses.",31903,['year the 2014 of gallons is 3644 ; the 2014 of average price per gallon is $ 2.91 ; the 2014 of aircraft fuel expense is $ 10592 ; the 2014 of percent of total mainline operating expenses is 33.2% ( 33.2 % ) ;']
5474,"['AAL/2014/page_92.pdf-3', 'AAL/2014/page_92.pdf-4', 'AAL/2014/page_92.pdf-1', 'AAL/2014/page_92.pdf-2', 'AAL/2014/page_89.pdf-4']",AAL/2014/page_80.pdf-3,"12.1%

To arrive at this answer, I looked at the table provided in the context that lists the components included in reorganization items net for 2013. The amount for aircraft and facility financing renegotiations and rejections in 2013 was $320 million. To calculate the percentage, I divided this amount by the total reorganization items net for 2013 ($2640 million) and multiplied by 100 to get the percentage, which is 12.1%.",12.2%,"['the aircraft and facility financing renegotiations and rejections ( 2 ) ( 3 ) of 2013 is 325 ;'
 'the total reorganization items net of 2013 is $ 2655 ;']"
7725,"['AAL/2014/page_15.pdf-4', 'AAL/2014/page_15.pdf-1', 'AAL/2014/page_15.pdf-2', 'AAL/2014/page_15.pdf-3', 'AAL/2014/page_18.pdf-4']",AAL/2014/page_15.pdf-4,"Answer: 1.57

To arrive at this answer, I first looked at the number of flight attendants, which is 25,400, and then at the number of pilots, which is 16,200. I then divided the number of flight attendants by the number of pilots to get the ratio, which is approximately 1.57.",1.57,"['the flight attendants of american is 15900 ; the flight attendants of us airways is 7700 ; the flight attendants of wholly-owned regional carriers is 1800 ; the flight attendants of total is 25400 ;'
 'the pilots of american is 8600 ; the pilots of us airways is 4400 ; the pilots of wholly-owned regional carriers is 3200 ; the pilots of total is 16200 ;']"
7745,"['AAL/2014/page_15.pdf-4', 'AAL/2014/page_15.pdf-2', 'AAL/2014/page_15.pdf-1', 'AAL/2014/page_15.pdf-3', 'AAL/2014/page_15.pdf-3']",AAL/2014/page_15.pdf-2,"25% 

Explanation: The context mentions that salaries, wages, and benefits represented approximately 25% of operating expenses in 2014. Since passenger service personnel are typically included in this category, it can be inferred that about 25% of the total number of active full-time equivalent employees are passenger service personnel.",19.9%,"['the passenger service personnel of american is 9100 ; the passenger service personnel of us airways is 6100 ; the passenger service personnel of wholly-owned regional carriers is 7300 ; the passenger service personnel of total is 22500 ;'
 'the total of american is 61600 ; the total of us airways is 32800 ; the total of wholly-owned regional carriers is 18900 ; the total of total is 113300 ;']"
7825,"['AAL/2014/page_15.pdf-4', 'AAL/2014/page_15.pdf-2', 'AAL/2014/page_15.pdf-1', 'AAL/2014/page_15.pdf-3', 'AAL/2014/page_15.pdf-3']",AAL/2014/page_15.pdf-1,"50% of employees

Steps:
1. Identify the total number of active full-time equivalent employees as of December 31, 2014.
2. Determine the number of employees that are U.S. Airways employees.
3. Calculate the percentage of U.S. Airways employees out of the total number of employees. 
4. Express the percentage as a fraction.",28.9%,['the total of american is 61600 ; the total of us airways is 32800 ; the total of wholly-owned regional carriers is 18900 ; the total of total is 113300 ;']
7938,"['AAL/2014/page_15.pdf-2', 'AAL/2014/page_15.pdf-3', 'AAL/2014/page_15.pdf-4', 'AAL/2014/page_15.pdf-1', 'AAL/2014/page_15.pdf-2']",AAL/2014/page_15.pdf-3,"Ratio: 1:1

Steps:
1. Find the total number of American personnel: 61,600
2. Find the total number of US Airways personnel: 32,800
3. Divide the total number of American personnel by the total number of US Airways personnel: 61,600 / 32,800 = 1.88
4. Since the ratio needs to be simplified, round to the nearest whole number, which is 1:1.",1.88,['the total of american is 61600 ; the total of us airways is 32800 ; the total of wholly-owned regional carriers is 18900 ; the total of total is 113300 ;']
