,Retrieved Context
117,VRSK/2017/page_46.pdf
118,URI/2018/page_111.pdf
119,MPC/2017/page_62.pdf
120,JNPR/2017/page_183.pdf
121,TMO/2012/page_75.pdf
122,HOG/2017/page_27.pdf
123,WU/2010/page_103.pdf
124,HOG/2014/page_102.pdf
125,VRSN/2009/page_40.pdf
126,TSN/2009/page_57.pdf
127,CHD/2011/page_53.pdf
128,ROK/2007/page_41.pdf
129,AKAM/2009/page_38.pdf
130,NFLX/2008/page_37.pdf
131,UNM/2016/page_124.pdf
132,KMB/2007/page_69.pdf
133,ATO/2018/page_33.pdf
134,PHM/2010/page_75.pdf
135,MGM/2018/page_96.pdf
136,VRSK/2018/page_53.pdf
137,TEL/2012/page_77.pdf
138,VRSK/2014/page_97.pdf
139,MPC/2018/page_123.pdf
140,TSN/2010/page_20.pdf
141,TDG/2016/page_114.pdf
142,PPL/2009/page_207.pdf
143,ROK/2008/page_42.pdf
144,JNPR/2007/page_187.pdf
145,HAL/2008/page_27.pdf
146,PXD/2007/page_123.pdf
147,CHD/2016/page_57.pdf
148,SBAC/2006/page_63.pdf
149,DOV/2015/page_117.pdf
150,KMB/2003/page_40.pdf
151,PEP/2011/page_67.pdf
152,TDG/2019/page_133.pdf
153,NSC/2004/page_106.pdf
154,JNPR/2011/page_31.pdf
155,AMZN/2004/page_82.pdf
156,NVR/2013/page_6.pdf
157,PKI/2017/page_35.pdf
158,SYK/2013/page_10.pdf
159,TSN/2011/page_56.pdf
160,ZBRA/2006/page_77.pdf
161,PPL/2018/page_157.pdf
162,FMC/2011/page_107.pdf
163,WDC/2016/page_47.pdf
164,NSC/2004/page_31.pdf
165,PXD/2007/page_123.pdf
166,WDC/2013/page_49.pdf
167,DOV/2008/page_64.pdf
168,KEY/2015/page_64.pdf
169,ISRG/2006/page_63.pdf
170,CHD/2011/page_54.pdf
171,WU/2014/page_237.pdf
172,URI/2012/page_84.pdf
173,DOV/2018/page_50.pdf
174,WAB/2010/page_25.pdf
175,DOV/2013/page_59.pdf
176,TDG/2018/page_59.pdf
177,PNR/2014/page_50.pdf
178,DGX/2005/page_83.pdf
179,JNPR/2012/page_31.pdf
180,VRSN/2007/page_161.pdf
181,NFLX/2003/page_36.pdf
182,AMZN/2014/page_41.pdf
183,KMB/2007/page_42.pdf
184,URI/2016/page_70.pdf
185,ISRG/2005/page_24.pdf
186,HAL/2008/page_28.pdf
187,KSU/2008/page_78.pdf
188,MPC/2013/page_36.pdf
189,PNR/2015/page_112.pdf
190,KEY/2014/page_124.pdf
191,PNR/2015/page_113.pdf
192,NVR/2013/page_24.pdf
193,DLR/2006/page_56.pdf
194,DLR/2008/page_41.pdf
195,CHD/2007/page_11.pdf
196,KEY/2013/page_224.pdf
197,HOG/2016/page_19.pdf
198,WDC/2013/page_51.pdf
199,BXP/2004/page_154.pdf
200,ISRG/2006/page_71.pdf
201,VRSN/2007/page_73.pdf
202,SYK/2012/page_11.pdf
203,PNR/2016/page_54.pdf
204,IT/2010/page_127.pdf
205,TMO/2012/page_50.pdf
206,DGX/2012/page_49.pdf
207,HOG/2018/page_19.pdf
208,DLR/2016/page_76.pdf
209,AKAM/2010/page_110.pdf
210,SYK/2012/page_11.pdf
211,TSN/2010/page_16.pdf
212,TMO/2008/page_138.pdf
213,URI/2012/page_68.pdf
214,WAB/2012/page_84.pdf
215,WU/2014/page_237.pdf
216,HOG/2014/page_102.pdf
217,DOV/2008/page_42.pdf
218,AKAM/2010/page_60.pdf
219,URI/2018/page_41.pdf
220,NFLX/2004/page_24.pdf
221,HOG/2016/page_17.pdf
222,ISRG/2006/page_71.pdf
223,ATO/2016/page_51.pdf
224,BXP/2006/page_66.pdf
225,JNPR/2007/page_108.pdf
226,AKAM/2007/page_106.pdf
227,KSU/2008/page_80.pdf
228,ISRG/2007/page_63.pdf
229,JNPR/2018/page_146.pdf
230,PEP/2011/page_86.pdf
231,UNM/2018/page_44.pdf
232,HAL/2016/page_38.pdf
233,HAL/2016/page_30.pdf
234,UNM/2013/page_124.pdf
235,WU/2006/page_77.pdf
236,WAB/2009/page_80.pdf
237,UNM/2016/page_58.pdf
238,MKC/2013/page_47.pdf
239,AKAM/2010/page_42.pdf
240,WAB/2010/page_73.pdf
241,TDG/2006/page_82.pdf
242,URI/2015/page_93.pdf
243,AKAM/2014/page_38.pdf
244,VRSK/2017/page_48.pdf
245,JNPR/2011/page_113.pdf
246,UNM/2018/page_205.pdf
247,PNR/2014/page_134.pdf
248,MKC/2013/page_38.pdf
249,SBAC/2007/page_45.pdf
